Singer,FM,Title,Lyrics,AppleMusicYear,SongReleaseYear,DebutYear,Active,Subject,Persona,imageURL,id
ITZY,여성,Not Shy,"Not shy Not me ITZY
난 다 원해 다다 yeah
Not shy Not me
난 빨리빨리 원하는 걸 말해
못 가지면 어때 괜히
망설이다 시간만 가니
Yeah 다 말할래 cuz I like it
cuz I like it like it
기다려 왜 기다려서 뭐해
내가 내 맘을 왜 왜
말하면 안 돼 yeah
그냥 탁 그냥 탁탁탁탁탁
Not shy to say I want you
Hey there hey there 우리는
Great pair great pair 네 맘이
뭔지 모르지만 내 생각이
맞아 그러니까 yeah yeah
내 맘은 내 거 그러니까
좋아한다고 자유니까
네 맘은 네 거 맞으니까
말해봐 다 어서 다 cuz I'm not shy
Not shy Not me ITZY
난 다 원해 다다 Not shy
Not shy Not me
Give me 다 다다 다다다다다
Not shy Not me ITZY
난 다 원해 다다 Not shy
Not shy Not me
너를 원해 뭐 어때 cuz I'm not shy
넌 빨리빨리 대답할 필욘 없어
어차피 내 거니까 woo
날 보고 있기만 하면 돼
Yeah You will like it
cuz you like it
Cuz you like it like it
내가 미워 아니라면 비워
다른 건 다 지워
내가 네 only one yeah
그냥 싹 지워 싹싹싹싹싹
Not shy to say I want you
Hey there hey there 우리는
Great pair great pair 네 맘이
뭔지 모르지만 내 생각이
맞아 그러니까 yeah yeah
내 맘은 내 거 그러니까
좋아한다고 자유니까
네 맘은 네 거 맞으니까
말해봐 다 어서 다 cuz I'm not shy
Not shy Not me ITZY
난 다 원해 다다 Not shy
Not shy Not me
Give me 다 다다 다다다다다
Not shy Not me ITZY
난 다 원해 다다 Not shy
Not shy Not me
너를 원해 뭐 어때 cuz I'm not shy
후회하긴 싫으니까
엔딩 상관없으니까
Go go go 모두 쏟아내
No yes no 뭐든지 어때
이러면 저러면 어때
어차피 안 될 거 빼고 다 돼
Let's just be who we are
Do what we do 네 맘대로 해
Let the beat drop
Not shy Not me ITZY
난 다 원해 다다 Not shy
Not shy Not me
말해봐 다 어서 다 cuz I'm not shy
Not shy Not me ITZY
난 다 원해 다다 Not shy
Not shy Not me
Give me 다 다다 다다다다다
Not shy Not me ITZY
난 다 원해 다다 Not shy
Not shy Not me
너를 원해 뭐 어때 cuz I'm not shy
Not shy Not me",2020,,,0.8076923077,0.8571428571,강한 자아,https://is3-ssl.mzstatic.com/image/thumb/Music116/v4/9f/ee/e2/9feee229-ffe1-6b42-f6d6-363bb27ff57f/192641939587_Cover.jpg/592x592bb.webp,30
(여자)아이들,여성,TOMBOY,"Look at you 넌 못 감당해 날
Ya took off hook
기분은 Coke like brrr
Look at my toe 나의 Ex 이름 Tattoo
I got to drink up now 네가 싫다 해도 좋아

Why are you cranky, boy?
뭘 그리 찡그려 너
Do you want a blond barbie doll?
It’s not here, I’m not a doll

미친 연이라 말해 What’s the loss to me ya
사정없이 까보라고 You’ll lose to me ya
사랑 그깟 거 따위 내 몸에 상처 하나도 어림없지
너의 썩은 내 나는 향수나 뿌릴 바엔

Ye I’m a Tomboy (Umm ah umm)
Ye I’ll be the Tomboy (Umm ah)
This is my attitude
Ye I’ll be the Tomboy

I don’t wanna play this ping pong
I would rather film a Tik Tok
Your mom raised you as a prince
But this is queendom, right?
I like dancing, I love ma friends
Sometimes we swear without cigarettes
I like to eh on drinking whiskey
I won’t change it, what the hell?

미친 척이라 말해 What’s the loss to me ya
사정없이 씹으라고 You’re lost to me ya
사랑 그깟 거 따위 내 눈에 눈물 한 방울 어림없지
너의 하찮은 말에 미소나 지을 바엔

Ye I’m a Tomboy (Umm ah umm)
Ye I’ll be the Tomboy (Umm ah)
This is my attitude
Ye I’ll be the Tomboy

Said you get it?
You get the song right, you’ll get what I mean “Tomboy”

La la la la la la la la la
La la la la la la la la la

La la la la la la la la la
La la la la la la la la la
(Three, two, one)

It’s neither man nor woman
Man nor woman
It’s neither man nor woman
(Just me I-DLE)

It’s neither man nor woman
Man nor woman
It’s neither man nor woman
(Just me loving Tomboy)",2022,,,0.825,0.8787878788,강한 자아,https://is4-ssl.mzstatic.com/image/thumb/Music126/v4/9c/fe/5e/9cfe5eec-89b5-240f-5229-59244360e89d/8804775250422_Cover.jpg/592x592bb.webp,27
EXID,여성,L.I.E,"LIE LIE LIE LIE EH EH
이 밤에 대체 어디 연락해 
참 아는 여자 동생들 많네 
GO AWAY 
내 친구가 널 길에서 봤대 
네가 내게 잔다고 한 그때 
GO AWAY 
LIE LIE LIE LIE EH EH
혼자 방 안에서 한참 울고 있는데 
밤새 풀리지 않는 
기분때문에 그지같아 
나 어떡해 어떡해 
도저히 더는 참을 수 없는데 
BABY I Know I Know I Know 네 거짓말
이제 네가 숨 쉬는 것도 싫어 
스치는 것조차 난 싫어 Baby Baby know
BABY I Know I Know
널 생각할수록 더
나를 더 미치게 만드는 너의
LIE LIE LIE LIE EH EH
LIE LIE LIE LIE
LIE LIE LIE LIE EH EH
LIE LIE LIE LIE EH EH
NO NO BOY NO MORE
더는 못 숨어 Zoomer
꼭꼭 더 숨어 다 찾아낼 걸 널 Sooner
또 배우네 난 시원해 네가 다 지어낸
네 가짜 소설 아 무서워 Overdoser man
내 박수 보낼게 Clap clap clap
넌 남우주연상
타고도 남을 연기했네
넌 마치 흡연자
모두가 피해 더 지나치게
벌 받아야지 넌 싸
짐 싹 다 챙겨나가
더 이상 별 볼일 없으니까
BABY I Know I Know I Know 네 거짓말
이제 네가 숨 쉬는 것도 싫어
스치는 것조차 난 싫어 Baby Baby know
BABY I Know I Know
널 생각할수록 더
나를 더 미치게 만드는 너의
LIE LIE LIE LIE EH EH
LIE LIE LIE LIE EH EH
너 죽을 때까지 이렇게 살다가
지옥 가길 기도해 GO TO HELL GO AWAY
OH BABY 그대여
너는 태어나질 말았어야 해요
나 어떡해 어떡해
미치도록 꼴도 보기 싫은데
BABY BABY I Know I Know I Know 네 거짓말
이제 네가 숨 쉬는 것도 싫어
스치는 것조차 난 싫어 Baby Baby know
BABY I Know I Know
널 생각할수록 더
나를 더 미치게 만드는 너의
LIE LIE LIE LIE EH EH
LIE LIE LIE LIE
LIE LIE LIE LIE EH EH
LIE LIE LIE LIE EH EH
LIE LIE LIE LIE EH EH
LIE LIE LIE LIE",2016,,2012,0.6451612903,0.4237288136,강한 자아,https://is2-ssl.mzstatic.com/image/thumb/Music60/v4/c4/81/0a/c4810ad3-f63d-2962-c970-c0134c16b5e3/886445936308.jpg/592x592bb.webp,119
몬스타엑스,남성,HERO,"하루 종일 널 지켜보면서
발견한 유일한 문제점 yeah
너를 귀찮게 만드는
가식 뿐인 늑대 같은 남자들
아니야 넌 내 껀데
내가 지켜야 할 의무가 있는데
누가 널 절대 넘볼 수 없게
내가 지켜줄게
넌 너무나 아름다워서
난 적이 많아
마치 공주를 지키는 게임 같아
걱정하지 마 난 너만의 남자
I can be your hero
I can be your hero
I can be your hero
I can be your hero
I can be your man
I can be your hero
I can be your man
I can be your hero
I can be your man
I can be your hero
I can be your man
I can be your hero
악당들은 뒤로
나쁜 것들 포대기에 싸맨
다음 트럭에 실어
하나 같이 다 짐승 같아 보여 
동물원에 버려
전부 말들이 많어 널 가지려 
뱉어대는 개소리 월월월
What 만만하게 날 봤다면
버섯 먹고 크게 자라
바지 위에 팬티를 입고
망토를 달아 수트도 가끔 입고
가슴에서 빛이 나 
빛이 나 우리가 빛이 나
다들 고개를 bow
마지막 경고할게
화 나면 난리 나 나 무섭게 변해
누가 널 절대 넘볼 수 없게
내가 지켜줄게
넌 너무나 아름다워서
난 적이 많아
마치 공주를 지키는 게임 같아
걱정하지 마 난 너만의 남자
I can be your hero
I can be your hero
I can be your hero
I can be your hero
I can be your man
I can be your hero
I can be your man
I can be your hero
I can be your man
I can be your hero
I can be your man
Ay 난 너의 악당들을 모두 
하나 같이 뱅 뱅 뱅 뱅
하늘을 슝슝 그냥 막 하늘을 
날아다녀 슈퍼맨
너의 입꼬리 위에 매달려
웃음짓게 만들어 낼게 배트맨
널 울게 만드는 그 어떤 악당들 
이제는 싹 다 꺼지라 할게요
I can be your hero
I can be your hero
I can be your hero
I can be your hero
I can be your man
I can be your hero
I can be your man
I can be your hero
I can be your man
I can be your hero
I can be your man
I can be your hero
I can be your man
I can be your hero
I can be your man
I can be your hero
I can be your man",2015,2015,2015,0.8780487805,1,수호자,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/38/70/e0/3870e038-e02d-b620-6a51-21c9ba48e72e/mzm.fulxyvrs.jpg/592x592bf.webp,13
GOT the beat,여성,Step Back,"You must step back
어델 어델 봐
너 감히 누구라고 날 제껴
이쯤에서 물러나고
입 닫는게 좋을걸
아님 어디 한번
기어 올라와 보던가
널 짝사랑을 했었니
소꿉장난처럼 어릴 때
엔간히 끼를 좀 끼를 좀 끼를 좀
네가 부렸겠니
소싯적 추억 팔이
그리 재밌니
내 남잔 지금 Another level
너 따윈 꿈도 못 꿀 Level
날 가진 그런 Next level
보다시피 Another level
Don’t bring it to me 꺼져줘
내 거에서 손 떼 너
Step back Step back
다시 태어나도 안될걸
Step back Step back
착한 남자들에게
너는 독배 같은 것
마실수록 외로워
He’s sick and tired everyday
넘지 말아 Border line
Step back Step back
네가 비빌 곳이 아니야
Step back Step back
저울질로 가린 건
참지 못할 가벼운
네 마음일걸
He’s sick and tired everyday
그런다고 네게 되나 들어봐
상상보다 너 같은 애들이 많긴 많아
그러거나 말거나
세상은 너를 빼고 돌아가 돌아가
You gotta get a good mind
Are you looking for fun
재미를 또 찾니
호의로 다가와
이미 계산 끝나
공해상의 보물선을 보기라도 한 듯
막 들이대
시작해 Transaction
넌 좀 감당 못할 Level
세계가 무대인 Our Level
내 곁에서야 가능 Level
보다시피 Another level
Don’t bring it to me 꺼져줘
내 거에서 손 떼 너
Step back Step back
다시 태어나도 안될걸
Step back Step back
착한 남자들에게
너는 독배 같은 것
마실수록 외로워
He’s sick and tired everyday
넘지 말아 Border line
Step back Step back
네가 비빌 곳이 아니야
Step back Step back
저울질로 가린 건
참지 못할 가벼운
네 마음일걸
He’s sick and tired everyday
그와 함께했던 수많은 날들
네 장난 같은 유혹에
흔들리지 않아
사랑이란 감정을
거래하는 건 Too much
이제 그만 꺼져
돌아가 네 세계
다시는 착각은 말고
남자들 다 똑같아
내가 뜨면 시선집중
여기저기 Flash 터져
찍어라 찍어라 찍어라
상상은 너의 Freedom
가지가지 하기 전에
속부터 Build up
더 나가면 넌 좀 다쳐
Girls Bring it on
Step back Step back Step back
Silly girl
The only girl who live in a dream
Step back Step back Step back
Silly girl
내 앞에서 좀 비켜줘 Yeah
Don’t bring it to me 꺼져줘
내 거에서 손 떼 너
Step back Step back
다시 태어나도 안될걸
Step back Step back
착한 남자들에게
너는 독배 같은 것
마실수록 외로워
He’s sick and tired everyday
넘지 말아 Border line
Step back Step back
네가 비빌 곳이 아니야
Step back Step back
저울질로 가린 건
참지 못할 가벼운
네 마음일걸
He’s sick and tired everyday",2022,,,0.4485981308,0.5662650602,수호자,https://is3-ssl.mzstatic.com/image/thumb/Music126/v4/97/b2/90/97b2905a-5dcb-428b-cdbf-4b975fd25e68/Cover_GOT_the_beat_Step_Back.jpg/592x592bb.webp,230
Wanna One (워너원),남성,에너제틱 (Energetic),"너와 나의 입술이 점점 
느껴지는 이 순간 속에 뜨거운 공기 
온몸에 전율이 와 
이제 너와 내가 써 내릴 Story 
I don't know why 
나도 모르게 
더 빠져들어가 
숨 막히게 Baby 
I don't know why 
지금 이 순간 
멈출 수 없는 기분 No No No No 
Make me feel so high 
미치겠어 날 멈출 순 없어 
You make me feel so high 
I'm so crazy 너가 나를 본 순간 
막 끌려 더 날 당겨줘 Baby 
I'm feelin’ so energetic 
오늘 밤 둘이 Out of control Yeah 
I'm feelin’ so energetic 
내 심장이 멈추는 그 순간까지 
너를 지켜줄게 사라지지 않게 
한 순간의 작은 약속들은 아냐 
이젠 말해 내게 Baby 
You tell me how to feel 
Uh 1 2 3 & 4 
니 옆의 딴 놈들이 거슬려 좀 
Who am I 오직 너만을 지키는 킬러 
말 그대로 난 좀 죽여줘 Yeah 
Uh 너를 품에 안고 비상해 
걱정은 버려 지하에 
뭐를 하든 간에 하나라는 수식어가 
맴돌 거야 너와 나의 귓가에 
Make me feel so high 
미치겠어 날 멈출 순 없어 
You make me feel so high 
I'm so crazy 너가 나를 본 순간 
막 끌려 더 날 당겨줘 Baby 
I'm feelin’ so energetic 
오늘 밤 둘이 Out of control Yeah 
I'm feelin’ so energetic 
I'm feelin’ good 
I wanna touch 
멈출 수 없는 이 기분은 마치 Freedom 
I'm feelin’ good 
I wanna touch baby 
어서 내게 와줘 Tonight Yeah 
Alright 
Oh Oh Work your body 
다가와서 즐길 시간이 Let’s dance 
아껴둔 너의 신발이 
더러워지더라도 
움직여 빨리 Hurry up 
질문은 나중에 해
딴 남자들은 넘보지 말게
누가 봐도 So 쿨하게
이제 시작해 You know I mean
막 끌려 더 날 당겨줘 Baby
I'm feelin’ so energetic
너와 단둘이 Out of control Yeah
I'm feelin’ so energetic",2017,,,0.7833333333,0.8,수호자,https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/ee/45/55/ee455550-9368-fc09-82ff-7f506a240a70/8809534466557_Cover.jpg/592x592bb.webp,43
세븐틴 (SEVENTEEN),남성,아낀다,"Seventeen Yob
You Know What
요즘 말야 내가 말야 생각이 많아
요즘 말야 너에게 말야
할 말이 많아
요즘 말야
내가 좀 이상해 말수가 적어져 
친구들이 다 걱정해
요즘 말야
네 앞에만 서면 심장이 뛰어서 
행동이 서툴러서 미안해
아직도 조절이 안 돼
나 갖고 놀지 좀 말래
왜 자꾸 front 하는 건데
모르겠다 모르겠다
어떻게든 되겠지
그니까 내 말은
너를 다 알고 싶어
너를 노래해 U Hoo
너를 노래해 U Hoo
입술이 말라도
할 말은 해야겠어 Baby
아껴 널 아껴 널
현기증 날 정도로 
아낀다 요즘 말야
내가 말야 요즘 말야
아낀다 요즘 말야 내가 말야
요즘 요즘 말야
어쩌다가 눈이 부시는가
이기적인 외모 겸손한 성품을 봐
여기 감히 어디라고 농이 아냐
너의 매력에 대한 사실을 고한다 Oh 
날 보고 웃는 게 좋아선지
아니면 그냥 우스워 보이는 건지 ho
Yeh 지금 자릴 찾고 있다면
Yeh 내 옆자리가 좋아 보여
Yeh 너에게 관심 많어
신발 사이즈 까지도 Oh Oh
아 지금 너 땜에 불이 나
나를 식히는 건 무리야
아 지금 너 땜에 불이 나
모르겠다 모르겠다
어떻게든 되겠지
그니까 내 말은
너를 다 알고 싶어
너를 노래해 U Hoo
너를 노래해 U Hoo
입술이 말라도
할 말은 해야겠어 Baby
아껴 널 아껴 널
현기증 날 정도로 
아낀다 요즘 말야
내가 말야 요즘 말야
아낀다 요즘 말야 내가 말야
요즘 요즘 말야
너 여기 기대도 돼 
너의 아픔 나로 덮어도 돼
네 속마음 불어
눈치 채긴 역부족
Can't fake it no more
끌어올려 속도
튕기는 건 이 쯤에서 끝내고
이제 나도 한 번 불러 보자
Baby You're My Angel
너를 다 알고 싶어
너를 노래해 U Hoo
너를 노래해 U Hoo
입술이 말라도
할 말은 해야겠어 Baby
아껴 널 아껴 널
현기증 날 정도로 
아낀다 요즘 말야
내가 말야 요즘 말야
아낀다 요즘 말야 내가 말야
요즘 요즘 말야",2015,2015,2015,0.7291666667,0.4081632653,불도저,https://is3-ssl.mzstatic.com/image/thumb/Music124/v4/75/7d/b9/757db928-7365-3af7-4a95-22c430d2c10d/cover-.jpg/592x592bb.webp,67
원더걸스,여성,Be My Baby,"Watching 계속 바라보며 난
Waiting 니가 다가오기만을 바래
어서 내게 와 날 데려가 제발
Dreaming 니 맘도 나 같기를
Praying 가슴 조이며 난 기도해
저 하늘에 이렇게 두 손을 모아서
이런 적이 없는데 내 가슴이
두근두근 두근대고
몇 번 본 적 없는데 니 모습이
자꾸 꿈에 나와
차분하려 하는데
니가 또 내 앞에만 나타나면
사랑한다고 말해버릴 것만 같아
Please be my baby
Please be my baby
너만 생각하면 미치겠어
니가 너무너무 갖고 싶어서
Make me your lady
Make me your lady
나의 사랑을 너에게 줄게 절대
후회하지 않게 해줄게 No
Crazy 내가 미쳤는지 왜
Lately 하루 종일 난 뭘 하든지
너의 사진이 머릿속에 박혔어
Perfect 모든 게 완벽해
Terrific 겉과 속 모두 다
어쩜 너는 모자라는 게
하나도 없는 건지
차분하려 하는데
니가 또 내 앞에만 나타나면
사랑한다고 말해버릴 것만 같아
Please be my baby
Please be my baby
너만 생각하면 미치겠어
니가 너무너무 갖고 싶어서
Make me your lady
Make me your lady
나의 사랑을 너에게 줄게 절대
후회하지 않게 해줄게 No
자 더 이상 이제 망설이지 마
내 말을 의심하지 마
내 말을 믿고 나를 따라와
난 니 인생의 마지막
여자가 되고 넌 내 마지막 남자가
될 거란 걸 알지만
넌 아직 몰라 왜 놀라
자 어서 빨리 나를 골라
말 할 필요도 없어 그냥 내 말대로
잘 할 생각만 하면 돼
그러니 니 앞에 날 잘 보고
판단을 해 봐
어때 88 나이도 딱 맞아
모두 다 맞아
Please be my baby
Please be my baby
너만 생각하면 미치겠어
니가 너무너무 갖고 싶어서
Make me your lady
Make me your lady
나의 사랑을 너에게 줄게 절대
후회하지 않게 해줄게 No",2011,2011,2007,0.6721311475,0.5263157895,불도저,https://is3-ssl.mzstatic.com/image/thumb/Music123/v4/0a/9d/2f/0a9d2f78-713f-92ca-fa3f-1db1d62c0681/610696268433.jpg/592x592bb.webp,101
WINNER,남성,REALLY REALLY,"REALLY REALLY REALLY REALLY
OH WAH
REALLY REALLY REALLY REALLY
어디야 집이야 안 바쁨 나와봐
너네 집 앞이야 너에게 
하고픈 말이 있어
이걸 어떻게 말을 꺼내야 
할진 모르겠지만
이상한 말 아냐 부담 없이 들어줘
지금 내 눈에 제일 
아름다운 건 너야 LADY
널 향한 내 맘이 돈이면 
아마 난 BILLIONAIRE
널 좋아해
REALLY REALLY REALLY REALLY
내 맘을 믿어줘 OH WAH
REALLY REALLY REALLY REALLY
널 좋아해
REALLY REALLY REALLY REALLY
내 맘을 받아줘 OH WAH
REALLY REALLY REALLY REALLY
넌 나 어때
멋지게 골인
프러포즈 같은 세리머니
정해보자 호칭 
허니 말고 자기 아님 달링
낯간지럽네 상상해봐도
긴장돼 필요해 
a lot of alcohol
덩치는 산만해도 
네 앞에선 작아지네
oh 내 맘 알까나
첫눈에 미끄러지듯이 
Falling in love
내 맘을 훔친 범인인 건 
바로 너
너의 미모 질투해 여신도
내 심장의 떨림은 진동 brrr
치명적인 매력이 날 killin’
섹시해 날 자극하는 
Hot chili woo
오해하지 마 나는 진짜
진심으로 채워줄게 너의 빈 잔
지금 내 눈에 제일 
아름다운 건 너야 LADY
널 향한 내 맘이 돈이면 
아마 난 BILLIONAIRE
널 좋아해
REALLY REALLY REALLY REALLY
내 맘을 믿어줘 OH WAH
REALLY REALLY REALLY REALLY
널 좋아해
REALLY REALLY REALLY REALLY
내 맘을 받아줘 OH WAH
REALLY REALLY REALLY REALLY
넌 나 어때
혹시라도 내가 
불편하면 let me know
한걸음 뒤로 가 
단지 아는 사이로
기다릴 수 있어 
너도 나를 좋아할 거 같다 말해줘 
지금 당장 만나 
나 진심으로 네게 할 말이 있어 
널 좋아해
REALLY REALLY REALLY REALLY
내 맘을 믿어줘 OH WAH
REALLY REALLY REALLY REALLY
널 좋아해
REALLY REALLY REALLY REALLY
내 맘을 받아줘 OH WAH
REALLY REALLY REALLY REALLY
넌 나 어때
네가 좋아 
REALLY REALLY OH YEAH
널 좋아해",2017,,,0.8026315789,0.4594594595,불도저,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/c1/e4/c3/c1e4c3dd-c227-4aa0-9e9c-4ad079795945/WINNER_DIGITAL_COVER_final_L.jpg/592x592bb.webp,34
